filename,emotion
sub01_EP02_01f.npy,happiness
sub01_EP03_02.npy,others
sub01_EP04_02.npy,others
sub01_EP04_03.npy,others
sub01_EP04_04.npy,others
sub01_EP19_01.npy,others
sub01_EP19_03f.npy,others
sub01_EP19_05f.npy,disgust
sub01_EP19_06f.npy,disgust
sub02_EP01_11f.npy,repression
sub02_EP02_04f.npy,repression
sub02_EP03_02f.npy,repression
sub02_EP06_01f.npy,repression
sub02_EP06_02f.npy,repression
sub02_EP08_04.npy,others
sub02_EP09_01.npy,happiness
sub02_EP09_06f.npy,others
sub02_EP09_10.npy,others
sub02_EP11_01.npy,surprise
sub02_EP13_04.npy,surprise
sub02_EP14_01.npy,surprise
sub02_EP15_04.npy,others
sub03_EP01_2.npy,surprise
sub03_EP07_03.npy,others
sub03_EP07_04.npy,disgust
sub03_EP08_1.npy,others
sub03_EP09_03.npy,disgust
sub03_EP18_06.npy,disgust
sub03_EP19_08.npy,disgust
sub04_EP12_01f.npy,disgust
sub04_EP12_02f.npy,disgust
sub04_EP13_02f.npy,others
sub04_EP13_06f.npy,disgust
sub04_EP19_01f.npy,others
sub05_EP02_07.npy,surprise
sub05_EP03_01.npy,happiness
sub05_EP03_06.npy,surprise
sub05_EP03_07.npy,others
sub05_EP04_05.npy,surprise
sub05_EP04_06.npy,surprise
sub05_EP05_03.npy,others
sub05_EP05_09.npy,others
sub05_EP06_10.npy,others
sub05_EP07_01.npy,others
sub05_EP08_05.npy,others
sub05_EP09_05f.npy,disgust
sub05_EP12_03f.npy,surprise
sub05_EP12_06.npy,others
sub05_EP13_04f.npy,others
sub05_EP13_06.npy,others
sub05_EP16_03f.npy,others
sub05_EP16_04f.npy,others
sub05_EP19_03.npy,others
sub06_EP01_01.npy,happiness
sub06_EP02_31.npy,surprise
sub06_EP10_08.npy,others
sub06_EP15_02.npy,surprise
sub06_EP16_05.npy,disgust
sub07_EP01_01.npy,disgust
sub07_EP03_04.npy,others
sub07_EP06_01.npy,others
sub07_EP06_02_01.npy,disgust
sub07_EP06_02_02.npy,disgust
sub07_EP08_02.npy,disgust
sub07_EP15_01.npy,disgust
sub07_EP18_01.npy,others
sub07_EP18_03.npy,others
sub08_EP12_07f.npy,others
sub08_EP12_08f.npy,others
sub08_EP13_01f.npy,repression
sub09_EP02_01f.npy,happiness
sub09_EP05_02.npy,others
sub09_EP05_03.npy,others
sub09_EP05_05.npy,happiness
sub09_EP06_01f.npy,repression
sub09_EP06_02f.npy,happiness
sub09_EP09_04.npy,repression
sub09_EP09_05.npy,repression
sub09_EP09f.npy,happiness
sub09_EP13_01.npy,repression
sub09_EP13_02.npy,fear
sub09_EP15_05.npy,happiness
sub09_EP17_08.npy,repression
sub09_EP18_03.npy,others
sub10_EP06_01f.npy,others
sub10_EP08_01f.npy,others
sub10_EP10_01f.npy,others
sub10_EP11_01.npy,others
sub10_EP11_01f.npy,others
sub10_EP12_02f.npy,others
sub10_EP12_03f.npy,others
sub10_EP12_04.npy,others
sub10_EP13_01.npy,fear
sub10_EP13_02f.npy,others
sub10_EP13_03f.npy,others
sub10_EP16_02f.npy,others
sub10_EP18_01f.npy,others
sub10_EP19_04f.npy,others
sub11_EP02_06f.npy,others
sub11_EP08_01f.npy,disgust
sub11_EP12_03f.npy,others
sub11_EP13_02f.npy,disgust
sub11_EP13_03f.npy,disgust
sub11_EP13_05f.npy,disgust
sub11_EP15_01f.npy,others
sub11_EP15_04f.npy,others
sub11_EP18_03f.npy,others
sub11_EP19_03f.npy,others
sub12_EP01_02.npy,disgust
sub12_EP02_05.npy,surprise
sub12_EP03_02.npy,others
sub12_EP03_04.npy,happiness
sub12_EP04_16.npy,disgust
sub12_EP06_06.npy,surprise
sub12_EP08_01.npy,surprise
sub12_EP08_03.npy,surprise
sub12_EP08_07.npy,happiness
sub12_EP09_02.npy,disgust
sub12_EP09_06.npy,disgust
sub12_EP16_02.npy,disgust
sub13_EP01_01.npy,others
sub13_EP01_02.npy,others
sub13_EP02_02.npy,others
sub13_EP02_03.npy,others
sub13_EP03_01.npy,happiness
sub13_EP08_01.npy,others
sub13_EP09_10.npy,happiness
sub13_EP12_01.npy,others
sub14_EP04_04f.npy,others
sub14_EP09_03.npy,happiness
sub14_EP09_04.npy,happiness
sub14_EP09_06.npy,happiness
sub15_EP03_02.npy,happiness
sub15_EP04_02.npy,surprise
sub15_EP08_02.npy,disgust
