filename,emotion
sub01_EP02_01f_46.npy,happiness
sub01_EP03_02_131.npy,others
sub01_EP04_02_21.npy,others
sub01_EP04_03_31.npy,others
sub01_EP04_04_23.npy,others
sub01_EP19_01_26.npy,others
sub01_EP19_03f_81.npy,others
sub01_EP19_05f_396.npy,disgust
sub01_EP19_06f_36.npy,disgust
sub02_EP01_11f_46.npy,repression
sub02_EP02_04f_31.npy,repression
sub02_EP03_02f_16.npy,repression
sub02_EP06_01f_56.npy,repression
sub02_EP06_02f_36.npy,repression
sub02_EP08_04_16.npy,others
sub02_EP09_01_26.npy,happiness
sub02_EP09_06f_11.npy,others
sub02_EP09_10_26.npy,others
sub02_EP11_01_16.npy,surprise
sub02_EP13_04_21.npy,surprise
sub02_EP14_01_81.npy,surprise
sub02_EP15_04_26.npy,others
sub03_EP01_2_51.npy,surprise
sub03_EP07_03_16.npy,others
sub03_EP07_04_21.npy,disgust
sub03_EP08_1_11.npy,others
sub03_EP09_03_61.npy,disgust
sub03_EP18_06_26.npy,disgust
sub03_EP19_08_101.npy,disgust
sub04_EP12_01f_261.npy,disgust
sub04_EP12_02f_356.npy,disgust
sub04_EP13_02f_51.npy,others
sub04_EP13_06f_71.npy,disgust
sub04_EP19_01f_191.npy,others
sub05_EP02_07_36.npy,surprise
sub05_EP03_01_41.npy,happiness
sub05_EP03_06_33.npy,surprise
sub05_EP03_07_41.npy,others
sub05_EP04_05_16.npy,surprise
sub05_EP04_06_6.npy,surprise
sub05_EP05_03_51.npy,others
sub05_EP05_09_49.npy,others
sub05_EP06_10_85.npy,others
sub05_EP07_01_49.npy,others
sub05_EP08_05_6.npy,others
sub05_EP09_05f_69.npy,disgust
sub05_EP12_03f_11.npy,surprise
sub05_EP12_06_46.npy,others
sub05_EP13_04f_36.npy,others
sub05_EP13_06_16.npy,others
sub05_EP16_03f_39.npy,others
sub05_EP16_04f_141.npy,others
sub05_EP19_03_6.npy,others
sub06_EP01_01_81.npy,happiness
sub06_EP02_31_99.npy,surprise
sub06_EP10_08_116.npy,others
sub06_EP15_02_56.npy,surprise
sub06_EP16_05_94.npy,disgust
sub07_EP01_01_79.npy,disgust
sub07_EP03_04_11.npy,others
sub07_EP06_01_15.npy,others
sub07_EP06_02_01_11.npy,disgust
sub07_EP06_02_02_36.npy,disgust
sub07_EP08_02_141.npy,disgust
sub07_EP15_01_36.npy,disgust
sub07_EP18_01_6.npy,others
sub07_EP18_03_11.npy,others
sub08_EP12_07f_26.npy,others
sub08_EP12_08f_71.npy,others
sub08_EP13_01f_49.npy,repression
sub09_EP02_01f_21.npy,happiness
sub09_EP05_02_66.npy,others
sub09_EP05_03_91.npy,others
sub09_EP05_05_46.npy,happiness
sub09_EP06_01f_66.npy,repression
sub09_EP06_02f_36.npy,happiness
sub09_EP09_04_26.npy,repression
sub09_EP09_05_26.npy,repression
sub09_EP09f_26.npy,happiness
sub09_EP13_01_31.npy,repression
sub09_EP13_02_71.npy,fear
sub09_EP15_05_56.npy,happiness
sub09_EP17_08_6.npy,repression
sub09_EP18_03_11.npy,others
sub10_EP06_01f_11.npy,others
sub10_EP08_01f_76.npy,others
sub10_EP10_01f_111.npy,others
sub10_EP11_01_31.npy,others
sub10_EP11_01f_36.npy,others
sub10_EP12_02f_26.npy,others
sub10_EP12_03f_26.npy,others
sub10_EP12_04_61.npy,others
sub10_EP13_01_11.npy,fear
sub10_EP13_02f_41.npy,others
sub10_EP13_03f_11.npy,others
sub10_EP16_02f_21.npy,others
sub10_EP18_01f_11.npy,others
sub10_EP19_04f_81.npy,others
sub11_EP02_06f_71.npy,others
sub11_EP08_01f_96.npy,disgust
sub11_EP12_03f_91.npy,others
sub11_EP13_02f_51.npy,disgust
sub11_EP13_03f_6.npy,disgust
sub11_EP13_05f_16.npy,disgust
sub11_EP15_01f_56.npy,others
sub11_EP15_04f_61.npy,others
sub11_EP18_03f_56.npy,others
sub11_EP19_03f_11.npy,others
sub12_EP01_02_31.npy,disgust
sub12_EP02_05_41.npy,surprise
sub12_EP03_02_26.npy,others
sub12_EP03_04_60.npy,happiness
sub12_EP04_16_36.npy,disgust
sub12_EP06_06_36.npy,surprise
sub12_EP08_01_46.npy,surprise
sub12_EP08_03_76.npy,surprise
sub12_EP08_07_111.npy,happiness
sub12_EP09_02_16.npy,disgust
sub12_EP09_06_66.npy,disgust
sub12_EP16_02_136.npy,disgust
sub13_EP01_01_76.npy,others
sub13_EP01_02_76.npy,others
sub13_EP02_02_11.npy,others
sub13_EP02_03_26.npy,others
sub13_EP03_01_31.npy,happiness
sub13_EP08_01_54.npy,others
sub13_EP09_10_51.npy,happiness
sub13_EP12_01_6.npy,others
sub14_EP04_04f_11.npy,others
sub14_EP09_03_6.npy,happiness
sub14_EP09_04_21.npy,happiness
sub14_EP09_06_11.npy,happiness
sub15_EP03_02_16.npy,happiness
sub15_EP04_02_21.npy,surprise
sub15_EP08_02_21.npy,disgust
sub16_EP01_05_66.npy,happiness
sub16_EP01_08_73.npy,repression
sub16_EP01_09f_51.npy,others
sub16_EP04_02f_181.npy,happiness
sub17_EP01_06_81.npy,happiness
sub17_EP01_13_76.npy,surprise
sub17_EP01_15_86.npy,happiness
sub17_EP02_01_91.npy,disgust
sub17_EP02_03_81.npy,disgust
sub17_EP02_11_161.npy,disgust
sub17_EP02_18f_91.npy,repression
sub17_EP03_02_118.npy,disgust
sub17_EP03_09_96.npy,happiness
sub17_EP05_02_25.npy,happiness
sub17_EP05_03_21.npy,happiness
sub17_EP05_03f_11.npy,repression
sub17_EP05_04_6.npy,repression
sub17_EP05_09_121.npy,repression
sub17_EP05_10_111.npy,repression
sub17_EP06_04_71.npy,disgust
sub17_EP06_07_216.npy,happiness
sub17_EP06_08_156.npy,repression
sub17_EP07_01_21.npy,disgust
sub17_EP08_02_21.npy,disgust
sub17_EP08_03_51.npy,others
sub17_EP10_06_104.npy,repression
sub17_EP11_01_9.npy,disgust
sub17_EP11_02_36.npy,disgust
sub17_EP12_03_131.npy,repression
sub17_EP13_01_146.npy,others
sub17_EP13_03_51.npy,disgust
sub17_EP13_04_86.npy,disgust
sub17_EP13_06_86.npy,disgust
sub17_EP13_09_6.npy,happiness
sub17_EP15_01_81.npy,sadness
sub17_EP15_03_319.npy,sadness
sub17_EP15_04_109.npy,repression
sub17_EP15_05_21.npy,others
sub17_EP16_01f_8.npy,disgust
sub17_EP18_07_36.npy,disgust
sub18_EP08_01_111.npy,others
sub18_EP18_01_66.npy,others
sub18_EP19_01_95.npy,others
sub19_EP01_01f_121.npy,happiness
sub19_EP01_02f_36.npy,happiness
sub19_EP02_01_91.npy,surprise
sub19_EP06_01f_146.npy,surprise
sub19_EP06_02f_211.npy,others
sub19_EP08_02_76.npy,happiness
sub19_EP11_01f_61.npy,others
sub19_EP11_04f_76.npy,surprise
sub19_EP13_01_71.npy,disgust
sub19_EP15_03f_51.npy,others
sub19_EP16_01_86.npy,disgust
sub19_EP16_02_61.npy,disgust
sub19_EP19_01_66.npy,others
sub19_EP19_02_106.npy,surprise
sub19_EP19_03_61.npy,surprise
sub19_EP19_04_46.npy,sadness
sub20_EP01_03_76.npy,disgust
sub20_EP03_02_45.npy,others
sub20_EP06_03_31.npy,disgust
sub20_EP07_04_96.npy,others
sub20_EP10_02_131.npy,others
sub20_EP12_01_41.npy,others
sub20_EP13_02_71.npy,others
sub20_EP15_03f_86.npy,others
sub20_EP16_01_71.npy,others
sub20_EP16_04_81.npy,others
sub20_EP18_03_48.npy,others
sub21_EP01_07_6.npy,others
sub21_EP05_02_111.npy,repression
sub22_EP01_12_50.npy,repression
sub22_EP13_08_151.npy,repression
sub23_EP02_01_36.npy,happiness
sub23_EP03_14f_51.npy,disgust
sub23_EP04_03f_16.npy,repression
